"Mass Product Linker Options","Mass-Product-Linker-Optionen"
"Specify here which mass actions provided by Mass Product Linker extension should be available in the 'Manage Products' grid:","Geben Sie hier an, welche der Massenaktionen der Mass-Product-Linker-Erweiterung unter 'Artikel verwalten' verfügbar sein soll:" 
"Cross-sell to each other","Gegenseitiges Cross-Selling"
"Add cross-selling...","Cross-Selling hinzufügen..."
"Stop cross-selling to each other","Gegenseitiges Cross-Selling aufheben"
"Completely remove cross-selling","Cross-Selling ganz aufheben"
"Up-sell to each other","Gegenseitiges Up-Selling"
"Add up-selling...","Up-Selling hinzufügen..."
"Stop up-selling to each other","Gegenseitiges Up-Selling aufheben"
"Completely remove up-selling","Up-Selling ganz aufheben"
"Product IDs","Produkt-IDs"
"Relate to each other","Gegenseitig als Zubehör markieren"
"Relate to...","Zubehör hinzufügen..."
"Stop relating to each other","Kein gegenseitiges Zubehör mehr"
"Completely remove relating","Zubehör komplett entfernen"
"Please select at least one product.","Bitte wählen Sie mindestens ein Produkt aus."
"Please select at least two products.","Bitte wählen Sie mindestens zwei Produkte aus."
"Too many products selected. Please select 50 or less.","Zu viele Produkte ausgewählt. Bitte wählen Sie 50 oder weniger aus."
"Please enter at least one product to link to. Enter product IDs (not SKUs) delimited by commas.", "Bitte geben Sie mindestens ein zu verknüpfendes Produkt an. Geben Sie durch Kommas getrennte Produkt-IDs (nicht SKUs) an."
"Successfully removed cross-selling links from %d products.","Cross-Selling-Verknüpfungen für %d Produkte erfolgreich gelöscht."
"Successfully removed cross-selling links to each other from %d products (total: %d removed links).","Für %d Produkte die untereinander bestehenden Cross-Selling-Verknüpfungen erfolgreich gelöscht (Gesamt: %d gelöschte Verknüpfungen)."
"Successfully linked %d products for cross-selling to each other (%d new links, %d already existed).","%d Produkte erfolgreich zum Cross-Selling untereinander verknüpft (%d neue Verknüpfungen, %d bestanden bereits)."
"Successfully linked %d product(s) for cross-selling to %d other product(s) (%d new links, %d already existed).","%d Produkt(e) erfolgreich zum Cross-Selling mit %d anderen/m Produkt(en) verknüpft (%d neue Verknüpfungen, %d bestanden bereits)."
"Successfully removed up-selling links from %d products.","Up-Selling-Verknüpfungen für %d Produkte erfolgreich gelöscht."
"Successfully removed up-selling links to each other from %d products (total: %d removed links).","Für %d Produkte die untereinander bestehenden Up-Selling-Verknüpfungen erfolgreich gelöscht (Gesamt: %d gelöschte Verknüpfungen)."
"Successfully linked %d products for up-selling to each other (%d new links, %d already existed).","%d Produkte erfolgreich zum Up-Selling untereinander verknüpft (%d neue Verknüpfungen, %d bestanden bereits)."
"Successfully linked %d product(s) for up-selling to %d other product(s) (%d new links, %d already existed).","%d Produkt(e) erfolgreich zum Up-Selling mit %d anderen/m Produkt(en) verknüpft (%d neue Verknüpfungen, %d bestanden bereits)."
"Successfully removed links to related products from %d products.","Zubehör von %d Produkten erfolgreich entfernt."
"Successfully un-related %d products to each other (total: %d removed links).","%d Produkte sind nicht mehr als gegenseitiges Zubehör markiert (Gesamt: %d gelöschte Verknüpfungen)."
"Successfully related %d products to each other (%d new links, %d already existed).","%d Produkte erfolgreich gegenseitig als Zubehör markiert (%d neue Verknüpfungen, %d bestanden bereits)."
"Successfully related %d product(s) to %d other product(s) (%d new links, %d already existed).","Zu %d Produkten erfolgreich weitere %d Produkte als Zubehör hinzugefügt (%d neue Verknüpfungen, %d bestanden bereits)."
